foliohog,cons_med1,tipo_tarif,tarifa_desc,tipo_viv,vivienda_desc
1,1806,9,No sabe,1,Casa única del terreno
1,370,9,No sabe,1,Casa única del terreno
1,60,9,No sabe,1,Casa única del terreno
1,375,9,No sabe,1,Casa única del terreno
1,660,9,No sabe,1,Casa única del terreno
1,160,9,No sabe,1,Casa única del terreno
1,331,9,No sabe,1,Casa única del terreno
1,243,9,No sabe,1,Casa única del terreno
1,353,3,1 - B,1,Casa única del terreno
1,239,3,1 - B,1,Casa única del terreno
1,308,3,1 - B,1,Casa única del terreno
1,980,3,1 - B,1,Casa única del terreno
1,980,3,1 - B,1,Casa única del terreno
1,645,3,1 - B,1,Casa única del terreno
1,280,3,1 - B,1,Casa única del terreno
1,640,3,1 - B,1,Casa única del terreno
1,310,3,1 - B,1,Casa única del terreno
1,783,3,1 - B,1,Casa única del terreno
1,416,9,No sabe,1,Casa única del terreno
1,2000,9,No sabe,1,Casa única del terreno
1,367,3,1 - B,1,Casa única del terreno
1,423,3,1 - B,1,Casa única del terreno
1,1200,9,No sabe,1,Casa única del terreno
1,1680,3,1 - B,1,Casa única del terreno
1,175,3,1 - B,1,Casa única del terreno
1,557,3,1 - B,1,Casa única del terreno
1,550,3,1 - B,1,Casa única del terreno
1,324,9,No sabe,1,Casa única del terreno
1,243,9,No sabe,1,Casa única del terreno
1,371,3,1 - B,1,Casa única del terreno
1,230,9,No sabe,1,Casa única del terreno
1,666,3,1 - B,1,Casa única del terreno
1,680,9,No sabe,1,Casa única del terreno
1,677,9,No sabe,1,Casa única del terreno
1,387,9,No sabe,1,Casa única del terreno
1,90,3,1 - B,1,Casa única del terreno
1,1055,9,No sabe,1,Casa única del terreno
1,267,9,No sabe,1,Casa única del terreno
1,170,9,No sabe,1,Casa única del terreno
1,120,9,No sabe,1,Casa única del terreno
1,600,9,No sabe,1,Casa única del terreno
1,350,9,No sabe,1,Casa única del terreno
1,200,9,No sabe,2,Casa que comparte terreno con otra(s)
1,175,9,No sabe,1,Casa única del terreno
1,250,9,No sabe,1,Casa única del terreno
1,200,9,No sabe,1,Casa única del terreno
1,267,3,1 - B,1,Casa única del terreno
1,245,9,No sabe,1,Casa única del terreno
1,478,9,No sabe,1,Casa única del terreno
1,385,9,No sabe,1,Casa única del terreno
1,289,9,No sabe,1,Casa única del terreno
1,350,9,No sabe,1,Casa única del terreno
1,168,9,No sabe,1,Casa única del terreno
1,326,9,No sabe,1,Casa única del terreno
1,700,9,No sabe,2,Casa que comparte terreno con otra(s)
1,569,9,No sabe,1,Casa única del terreno
1,78,9,No sabe,1,Casa única del terreno
1,49,3,1 - B,1,Casa única del terreno
1,872,9,No sabe,1,Casa única del terreno
1,414,3,1 - B,1,Casa única del terreno
1,580,9,No sabe,1,Casa única del terreno
1,183,9,No sabe,1,Casa única del terreno
1,176,1,01,1,Casa única del terreno
1,346,3,1 - B,1,Casa única del terreno
1,242,3,1 - B,1,Casa única del terreno
1,2176,9,No sabe,1,Casa única del terreno
1,204,1,01,1,Casa única del terreno
1,1300,3,1 - B,1,Casa única del terreno
1,484,3,1 - B,1,Casa única del terreno
1,1700,3,1 - B,1,Casa única del terreno
1,529,3,1 - B,1,Casa única del terreno
1,250,3,1 - B,1,Casa única del terreno
1,1700,9,No sabe,1,Casa única del terreno
1,1830,9,No sabe,1,Casa única del terreno
1,0,3,1 - B,1,Casa única del terreno
1,300,3,1 - B,1,Casa única del terreno
1,270,3,1 - B,1,Casa única del terreno
1,360,3,1 - B,1,Casa única del terreno
1,772,3,1 - B,1,Casa única del terreno
1,396,3,1 - B,1,Casa única del terreno
1,600,9,No sabe,1,Casa única del terreno
1,450,9,No sabe,1,Casa única del terreno
1,984,3,1 - B,1,Casa única del terreno
1,650,9,No sabe,1,Casa única del terreno
1,306,9,No sabe,1,Casa única del terreno
1,348,3,1 - B,1,Casa única del terreno
1,156,3,1 - B,1,Casa única del terreno
1,156,3,1 - B,1,Casa única del terreno
1,116,9,No sabe,1,Casa única del terreno
1,440,9,No sabe,1,Casa única del terreno
1,50,9,No sabe,1,Casa única del terreno
1,370,9,No sabe,1,Casa única del terreno
1,196,9,No sabe,1,Casa única del terreno
1,256,3,1 - B,1,Casa única del terreno
1,208,3,1 - B,2,Casa que comparte terreno con otra(s)
1,420,9,No sabe,1,Casa única del terreno
1,51,9,No sabe,1,Casa única del terreno
1,109,3,1 - B,1,Casa única del terreno
1,246,9,No sabe,1,Casa única del terreno
1,290,3,1 - B,1,Casa única del terreno
1,360,9,No sabe,1,Casa única del terreno
1,83,9,No sabe,1,Casa única del terreno
1,305,9,No sabe,1,Casa única del terreno
1,451,3,1 - B,1,Casa única del terreno
1,260,9,No sabe,1,Casa única del terreno
1,568,9,No sabe,1,Casa única del terreno
1,250,9,No sabe,1,Casa única del terreno
1,335,9,No sabe,1,Casa única del terreno
1,189,9,No sabe,1,Casa única del terreno
1,438,9,No sabe,1,Casa única del terreno
1,283,0,02,1,Casa única del terreno
1,127,9,No sabe,1,Casa única del terreno
1,487,9,No sabe,1,Casa única del terreno
1,170,9,No sabe,1,Casa única del terreno
